Timestamp,Score,drink_coffee,awake,drink_morning,drink_afternoon,sum_of_drinks
10/26/2023 22:33:22,,No,Morning,0,0,0
10/26/2023 22:34:25,,Yes,Afternoon,2,3,5
10/26/2023 22:38:29,,Yes,Afternoon,1,0,1
10/26/2023 22:44:43,,Yes,Afternoon,1,1,2
10/27/2023 8:03:13,,Yes,Afternoon,1,1,2
10/28/2023 21:33:53,,No,Afternoon,0,0,0
10/29/2023 16:57:50,,Yes,Morning,1,0,1
10/30/2023 9:28:14,,Yes,Morning,1,0,1
10/30/2023 9:32:16,,Yes,Afternoon,1,0,1
10/30/2023 9:32:33,,No,Afternoon,0,0,0
10/30/2023 9:32:39,,No,Afternoon,0,0,0
10/30/2023 9:33:46,,No,Morning,0,0,0
10/30/2023 9:33:47,,Yes,Morning,1,0,1
10/30/2023 9:33:56,,Yes,Afternoon,2,1,3
10/30/2023 9:36:16,,No,Afternoon,0,0,0
10/30/2023 9:36:34,,Yes,Afternoon,0,3,3
10/30/2023 9:37:24,,Yes,Afternoon,1,0,1
10/30/2023 9:37:55,,No,Afternoon,0,0,0
10/30/2023 9:38:03,,Yes,Afternoon,2,0,2
10/30/2023 9:38:10,,Yes,Afternoon,1,0,1
10/30/2023 9:38:31,,Yes,Afternoon,1,0,1
10/30/2023 9:38:40,,No,Morning,0,1,1
10/30/2023 9:38:40,,Yes,Afternoon,0,1,1
10/30/2023 9:39:05,,Yes,Morning,1,1,2
10/30/2023 9:39:58,,Yes,Afternoon,1,0,1
10/30/2023 9:40:57,,Yes,Morning,1,0,1
10/30/2023 9:41:55,,Yes,Morning,1,1,2
10/30/2023 9:41:56,,Yes,Morning,1,1,2
10/30/2023 9:44:00,,No,Morning,0,0,0
10/30/2023 9:44:21,,No,Morning,0,0,0
10/30/2023 9:45:36,,Yes,Morning,2,0,2
10/30/2023 9:47:20,,No,Afternoon,0,0,0
10/30/2023 9:48:06,,No,Afternoon,0,0,0
10/30/2023 9:48:54,,Yes,Afternoon,0,1,1
10/30/2023 9:50:33,,Yes,Morning,1,1,2
10/30/2023 9:51:12,,Yes,Afternoon,1,0,1
10/30/2023 9:53:00,,Yes,Afternoon,1,0,1
10/30/2023 10:00:24,,Yes,Afternoon,1,3,4
10/30/2023 10:01:03,,Yes,Afternoon,1,0,1
10/30/2023 10:01:23,,Yes,Morning,1,1,2
10/30/2023 10:02:01,,Yes,Afternoon,2,2,4
10/30/2023 10:06:10,,Yes,Afternoon,1,1,2
10/30/2023 10:06:23,,No,Afternoon,0,0,0
10/30/2023 10:07:30,,No,Afternoon,0,0,0
10/30/2023 10:11:03,,No,Morning,0,0,0
10/30/2023 10:11:09,,Yes,Afternoon,1,0,1
10/30/2023 10:11:36,,Yes,Morning,1,1,2
10/30/2023 10:12:33,,Yes,Afternoon,2,0,2
10/30/2023 10:13:42,,No,Morning,0,0,0
10/30/2023 10:15:51,,No,Afternoon,0,0,0
10/30/2023 10:18:16,,No,Afternoon,0,0,0
10/30/2023 10:20:50,,Yes,Afternoon,1,1,2
10/30/2023 10:20:55,,Yes,Morning,1,1,2
10/30/2023 10:23:00,,Yes,Morning,18,22,40
10/30/2023 10:24:33,,Yes,Afternoon,0,1,1
10/30/2023 10:24:44,,No,Afternoon,1,0,1
10/30/2023 10:24:56,,Yes,Afternoon,0,1,1
10/30/2023 10:26:50,,No,Afternoon,0,0,0
10/30/2023 10:29:04,,Yes,Afternoon,0,1,1
10/30/2023 10:32:20,,Yes,Morning,1,1,2
10/30/2023 10:34:12,,Yes,Afternoon,1,1,2
10/30/2023 10:34:40,,No,Afternoon,0,0,0
10/30/2023 10:36:21,,Yes,Morning,1,1,2
10/30/2023 10:41:38,,Yes,Afternoon,1,0,1
10/30/2023 10:44:41,,Yes,Afternoon,2,0,2
10/30/2023 10:45:33,,No,Afternoon,0,0,0
10/30/2023 10:47:55,,Yes,Afternoon,1,0,1
10/30/2023 10:52:51,,Yes,Afternoon,1,0,1
10/30/2023 10:53:35,,Yes,Afternoon,1,3,4
10/30/2023 10:58:14,,Yes,Afternoon,6,1,7
10/30/2023 10:59:01,,No,Afternoon,0,0,0
10/30/2023 11:04:36,,Yes,Afternoon,1,0,1
10/30/2023 11:22:17,,No,Afternoon,0,0,0
10/30/2023 11:22:21,,No,Morning,0,0,0
10/30/2023 11:22:27,,Yes,Afternoon,0,1,1
10/30/2023 11:24:48,,Yes,Afternoon,0,0,0
10/30/2023 11:47:26,,No,Afternoon,0,0,0
10/30/2023 11:48:00,,No,Afternoon,0,0,0
10/30/2023 11:48:20,,Yes,Afternoon,0,1,1
10/30/2023 11:49:50,,No,Afternoon,0,0,0
10/30/2023 11:59:54,,Yes,Afternoon,1,0,1
10/30/2023 11:59:55,,Yes,Morning,1,0,1
10/30/2023 12:02:40,,Yes,Morning,2,1,3
10/30/2023 12:03:35,,No,Afternoon,0,0,0
10/30/2023 12:09:30,,Yes,Morning,2,2,4
10/30/2023 13:25:05,,Yes,Afternoon,1,2,3
10/30/2023 13:32:21,,No,Morning,0,0,0
10/30/2023 13:45:57,,No,Afternoon,0,0,0
10/30/2023 13:51:41,,Yes,Afternoon,1,1,2
10/30/2023 14:02:27,,No,Afternoon,0,0,0
10/30/2023 14:04:36,,Yes,Afternoon,1,1,2
10/30/2023 14:34:12,,Yes,Afternoon,2,1,3
10/30/2023 14:35:38,,No,Morning,0,0,0
10/30/2023 14:44:30,,No,Afternoon,0,0,0
10/30/2023 15:04:44,,No,Afternoon,1,2,3
10/30/2023 15:28:28,,Yes,Morning,1,0,1
10/30/2023 15:54:47,,Yes,Afternoon,1,0,1
10/30/2023 16:25:52,,Yes,Afternoon,1,1,2
10/30/2023 17:14:47,,No,Afternoon,0,0,0
10/30/2023 17:35:09,,Yes,Afternoon,1,1,2
10/30/2023 18:42:46,,No,Afternoon,0,0,0
10/30/2023 19:18:33,,Yes,Afternoon,0,1,1
10/30/2023 19:41:01,,Yes,Afternoon,1,1,2
10/30/2023 20:11:32,,No,Afternoon,0,0,0
10/31/2023 1:48:30,,Yes,Afternoon,2,1,3
10/31/2023 9:08:17,,Yes,Afternoon,1,1,2
10/31/2023 9:19:43,,Yes,Afternoon,0,0,0